task_id,top_module_name,num_generations,syntax_pass_count,equiv_pass_count,syntax_pass_rate,equiv_pass_rate,avg_cells_coverage
tt06-finale_0095,tt_um_otp_encryptor,1,0,0,0.00%,0.00%,N/A
tt06-finale_0096,tt_um_otp_encryptor,1,1,0,100.00%,0.00%,16.67%
tt06-finale_0097,tt_um_minibyte,1,1,0,100.00%,0.00%,95.87%
tt06-finale_0098,tt_um_minibyte,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0099,tt_um_minibyte,1,0,0,0.00%,0.00%,N/A
tt06-finale_0100,tt_um_minibyte,1,1,0,100.00%,0.00%,74.03%
tt06-finale_0101,tt_um_minibyte,1,0,0,0.00%,0.00%,N/A
tt06-finale_0102,tt_um_minibyte,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0103,tt_um_minibyte,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0104,tt_um_minibyte,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0105,tt_um_minibyte,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0106,tt_um_minibyte,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0107,tt_um_minibyte,1,1,0,100.00%,0.00%,95.64%
tt06-finale_0108,tt_um_minibyte,1,1,0,100.00%,0.00%,0.00%
